Day,WeekCode,TimeStart,TimeEnd,Subject,Teacher,Room,Building,Type,ClassroomRaw
1,2,09:00,10:35,"лек ВЫСШ. МАТЕМАТ","Барт Е.Л.","493","","лек","493;"
1,2,10:50,12:25,"пр ЭК ПО ФК И СПОРТУ","","","","пр",""
1,2,12:40,14:15,"пр ОСН РОС ГОС","Лысенко Е.М.","564","main","пр","564*;"
1,2,14:55,16:30,"пр НАЧЕРТАТ. ГЕОМ","Ивкин С.П.; Яворская Н.М.","502","main","пр","502*;"
2,2,14:55,16:30,"пр ИН. ЯЗ.","Дунаевская М.А.; Халюшева Г.Р.","312","main","пр","312*;"
2,2,16:45,18:20,"лек НАЧЕРТАТ. ГЕОМ","Ракитская М.В.","526","main","лек","526*;"
3,2,09:00,10:35,"лек ИСТОРИЯ","Попова В.В.","526","main","лек","526*;"
3,2,10:50,12:25,"пр ЭК ПО ФК И СПОРТУ","","","","пр",""
3,2,12:40,14:15,"лек ФИЗИКА","Белова Д.Д.","327","main","лек","327*;"
3,2,14:55,16:30,"пр ВЫСШ. МАТЕМАТ","Волченкова Н.М.","564","main","пр","564*;"
4,2,09:00,10:35,"пр ВЫСШ. МАТЕМАТ","Волченкова Н.М.","564","main","пр","564*;"
5,2,12:40,14:15,"пр ИСТОРИЯ","Попова В.В.","563","main","пр","563*;"
5,2,14:55,16:30,"пр ФИЛОСОФИЯ","Клюев А.А.","565","main","пр","565*;"
