Day,WeekCode,TimeStart,TimeEnd,Subject,Teacher,Room,Building,Type,ClassroomRaw
1,1,09:00,10:35,"лек ВЫСШ. МАТЕМАТ","Барт Е.Л.","493","","лек","493;"
1,1,10:50,12:25,"пр ЭК ПО ФК И СПОРТУ","","","","пр",""
1,1,12:40,14:15,"пр ОСН РОС ГОС","Лысенко Е.М.","563","main","пр","563*;"
1,1,14:55,16:30,"пр НАЧЕРТАТ. ГЕОМ","Ивкин С.П.; Яворская Н.М.","502","main","пр","502*;"
2,1,10:50,12:25,"лек ФИЛОСОФИЯ","Куракина Е.В.","526","main","лек","526*;"
2,1,12:40,14:15,"лек ВВЕД. В КИБЕР.СИС.","Щербакова Л.В.","401","main","лек","401*;"
2,1,14:55,16:30,"пр ИН. ЯЗ.","Дунаевская М.А.; Халюшева Г.Р.","312","main","пр","312*;"
2,1,16:45,18:20,"лек НАЧЕРТАТ. ГЕОМ","Ракитская М.В.","526","main","лек","526*;"
3,1,09:00,10:35,"лек ИСТОРИЯ","Попова В.В.","526","main","лек","526*;"
3,1,10:50,12:25,"пр ЭК ПО ФК И СПОРТУ","","","","пр",""
3,1,12:40,14:15,"лаб ФИЗИКА","","323","main","лаб","323*;"
3,1,14:55,16:30,"пр ВЫСШ. МАТЕМАТ","Волченкова Н.М.","564","main","пр","564*;"
4,1,09:00,10:35,"пр ВЫСШ. МАТЕМАТ","Волченкова Н.М.","564","main","пр","564*;"
4,1,10:50,12:25,"пр ВВЕД. В КИБЕР.СИС.","Щербакова Л.В.","282","ВЦ","пр","ВЦ 282;"
5,1,09:00,10:35,"лек ВВЕД. В СПЕЦ","Саваровский А.А.","313","","лек","313;"
5,1,10:50,12:25,"лек ОСН РОС ГОС","Хомелева Р.А.","526","main","лек","526*;"
5,1,12:40,14:15,"пр ИСТОРИЯ","Попова В.В.","563","main","пр","563*;"
6,1,12:40,14:15,"лек ФК И СПОРТ","Петров А.Б.","дистанционно","","лек","дистанционно"
